date,forecast,ci_lower,ci_upper
2025-12-31,404.5839586738864,369.4840231005273,439.6838942472455
2026-01-31,421.65327156290164,386.5533359895425,456.75320713626076
2026-02-28,438.63723788747177,403.53730231411265,473.7371734608309
2026-03-31,455.5362843804191,420.43634880705997,490.6362199537782
2026-04-30,472.35083564090166,437.25090006754255,507.4507712142608
2026-05-31,489.0813141450818,453.9813785717227,524.1812497184409
2026-06-30,505.7281402567411,470.62820468338197,540.8280758301001
2026-07-31,522.2917322378421,487.191796664483,557.3916678112012
2026-08-31,538.7725062590375,503.6725706856784,573.8724418323966
2026-09-30,555.170876410127,520.0709408367679,590.270811983486
